date,Temp,EC,PH,turbidity,Chl-a,DO
1/11/2013 0:00,26.85,47420,7.97,4.3,3.5,6.71
1/11/2013 0:30,26.78,46700,7.96,4.4,3.3,6.62
1/11/2013 1:00,26.77,45910,7.95,4.6,3.1,6.55
1/11/2013 1:30,26.77,45180,7.94,4.6,3.5,6.45
1/11/2013 2:00,26.75,44560,7.92,4.6,3.8,6.35
1/11/2013 2:30,26.81,43990,7.91,4.5,3.6,6.28
1/11/2013 3:00,26.75,43310,7.9,4.8,3.4,6.22
1/11/2013 3:30,26.77,42810,7.89,4.5,3.2,6.15
1/11/2013 4:00,26.78,42390,7.88,4.5,3.7,6.09
1/11/2013 4:30,26.73,41980,7.87,4.3,3.6,6.05
1/11/2013 5:00,26.7,41720,7.86,4.4,3.8,6
1/11/2013 5:30,26.56,41820,7.86,4,3.3,5.95
1/11/2013 6:00,26.66,42290,7.87,4,3,6.03
1/11/2013 6:30,26.49,43490,7.88,4.6,3.5,6.06
1/11/2013 7:00,26.22,44830,7.9,5.1,3.9,6.11
1/11/2013 7:30,26.09,46470,7.92,5.2,3.6,6.21
1/11/2013 8:00,26.13,47790,7.94,4.9,3.5,6.33
1/11/2013 8:30,26.08,48670,7.95,5,2.9,6.37
1/11/2013 9:00,25.99,49540,7.95,5,3.1,6.39
1/11/2013 9:30,25.87,49980,7.96,4.2,2.9,6.44
1/11/2013 10:00,25.93,50160,7.96,4.5,2.9,6.46
1/11/2013 10:30,26.04,49220,7.97,3.4,2.6,6.57
1/11/2013 11:00,26.15,48810,7.97,3.6,3,6.72
1/11/2013 11:30,26.28,48230,7.97,3.8,2.7,6.75
1/11/2013 12:00,26.36,47780,7.97,4.2,3,6.82
1/11/2013 12:30,26.54,47320,7.98,4.2,2.2,6.93
1/11/2013 13:00,26.61,46810,7.98,4.5,2.8,7.02
1/11/2013 13:30,26.72,46070,7.97,4.5,3.2,7.1
1/11/2013 14:00,26.84,45370,7.97,4.8,3.1,7.17
1/11/2013 14:30,27.02,44640,7.97,4.7,2.8,7.25
1/11/2013 15:00,27.19,44090,7.97,5,3.1,7.28
1/11/2013 15:30,27.35,43420,7.97,5.2,3.4,7.42
1/11/2013 16:00,27.39,42910,7.96,4.9,3.5,7.39
1/11/2013 16:30,27.43,42410,7.96,5,3.2,7.4
1/11/2013 17:00,27.41,42140,7.96,5.1,3.3,7.39
1/11/2013 17:30,27.27,42300,7.95,5.3,3.3,7.29
1/11/2013 18:00,27.11,42920,7.95,4.5,4,7.23
1/11/2013 18:30,26.87,43960,7.95,4.8,3.6,7.09
1/11/2013 19:00,26.53,45440,7.97,5.8,2.8,7.1
1/11/2013 19:30,26.43,46960,7.99,5.9,3.7,7.15
1/11/2013 20:00,26.41,47990,8,6.3,3.3,7.13
1/11/2013 20:30,26.29,48930,8,6.3,3.3,7.09
1/11/2013 21:00,26.1,49760,8,5.6,3,7.02
1/11/2013 21:30,25.95,50090,8,4.9,3.3,6.96
1/11/2013 22:00,25.92,50250,8,4.4,2.7,6.9
1/11/2013 22:30,26.06,49260,8,4.4,3,6.97
1/11/2013 23:00,25.99,48830,7.99,3.8,3.1,6.92
1/11/2013 23:30,26.02,48070,7.98,4.8,3,6.86
2/11/2013 0:00,26.02,47730,7.98,4.2,3,6.83
2/11/2013 0:30,25.97,47240,7.97,4.6,3.5,6.75
2/11/2013 1:00,25.96,46570,7.96,4.6,3.2,6.66
2/11/2013 1:30,25.92,45630,7.95,4.4,3,6.59
2/11/2013 2:00,25.89,44860,7.94,4.2,3.1,6.51
2/11/2013 2:30,25.93,44300,7.93,4.5,2.9,6.44
2/11/2013 3:00,25.96,43760,7.91,4.7,3.7,6.37
2/11/2013 3:30,25.95,43140,7.9,4.6,2.8,6.33
2/11/2013 4:00,25.96,42630,7.89,4.5,3.7,6.28
2/11/2013 4:30,25.93,42220,7.89,4.4,3.2,6.22
2/11/2013 5:00,25.88,41880,7.88,4.7,3.8,6.18
2/11/2013 5:30,25.81,41580,7.87,4.9,3,6.14
